Created date (UTC),Amount,Amount Refunded,Description,Statement Descriptor,Status,Seller Message,Taxes On Fee,Card ID,Customer ID,Shipping Address City,Shipping Address State,Invoice ID
2024-11-10 15:05:06,50.91,0.0,Subscription creation,EXPERIMENTAI,Paid,Payment complete.,0.0,pm_1QJchDHsrWBJzFX2m1km9mvU,cus_RC0ijbOaql9B2c,Rio de Janeiro,RJ,in_1QJchEHsrWBJzFX2wMmLxOjQ
2024-11-10 14:59:54,49.0,0.0,Subscription update,EXPERIMENTAI,Paid,Payment complete.,0.0,pm_1Q8MtFHsrWBJzFX2NOaljrqI,cus_R0Neaswc5IBmJH,São Bernardo do Campo,SP,in_1QJbfNHsrWBJzFX2uJ24JDt3
2024-11-10 14:31:44,49.0,0.0,Subscription update,EXPERIMENTAI,Paid,Payment complete.,0.0,pm_1Q8MS6HsrWBJzFX2kj6xWffL,cus_R0NC3kxMseNtxF,São Paulo,SP,in_1QJbEmHsrWBJzFX2WcPwsas7
2024-11-10 14:21:07,49.0,0.0,Subscription update,EXPERIMENTAI,Paid,Payment complete.,0.0,pm_1QJc0ZHsrWBJzFX2THUlb74i,cus_R0MliZdCmhDQQx,POCOS DE CALDAS,MG,in_1QJaoZHsrWBJzFX2eNb91Hj4
2024-11-10 14:00:55,49.0,0.0,Subscription update,EXPERIMENTAI,Paid,Payment complete.,0.0,pm_1Q8LxmHsrWBJzFX2zkB2rLjY,cus_R0MhpqWG4TUFnz,São Paulo,SP,in_1QJakiHsrWBJzFX2kXVNBPam
2024-11-10 13:54:52,49.0,0.0,Subscription update,EXPERIMENTAI,Paid,Payment complete.,0.0,pm_1Q8LsCHsrWBJzFX2A9OsObpQ,cus_R0MbWDEQiWWhrf,Rio de Janeiro,RJ,in_1QJaewHsrWBJzFX2rEvS1GlA
2024-11-10 13:49:27,50.9,0.0,Subscription creation,EXPERIMENTAI,Paid,Payment complete.,0.0,pm_1QJbW5HsrWBJzFX2d7pW7MWk,cus_RBzVjVhlJtx5WQ,Santo André,SP,in_1QJbW6HsrWBJzFX2dWmuMn5D
2024-11-10 13:45:31,49.0,0.0,Subscription update,EXPERIMENTAI,Paid,Payment complete.,0.0,pm_1Q8LiwHsrWBJzFX2VfCwGeSU,cus_R0MRQlp6SGiW8x,Niterói,RJ,in_1QJaVUHsrWBJzFX2zW0lRqxX
2024-11-10 13:44:47,49.0,0.0,Subscription update,EXPERIMENTAI,Paid,Payment complete.,0.0,pm_1Q8LjFHsrWBJzFX2sJNliIy0,cus_R0MSsuJcsJyqXB,Angra dos Reis,RJ,in_1QJaVLHsrWBJzFX2nkqwrSSB
2024-11-10 13:37:33,49.0,0.0,Subscription update,EXPERIMENTAI,Paid,Payment complete.,0.0,pm_1Q8Lg3HsrWBJzFX27rDb6cSa,cus_R0MJrv7vfIJAn5,Niterói,RJ,in_1QJaO3HsrWBJzFX2hlk2JhqU
2024-11-10 13:26:55,49.0,0.0,Subscription update,EXPERIMENTAI,Paid,Payment complete.,0.0,pm_1Q8LRGHsrWBJzFX2zsLIJsIy,cus_R0M9l5ArQDND6k,Belo Horizonte,MG,in_1QJaDzHsrWBJzFX2anTu8QcC
2024-11-10 13:16:13,49.0,0.0,Subscription update,EXPERIMENTAI,Paid,Payment complete.,0.0,pm_1Q8LGTHsrWBJzFX2vMfiU0U5,cus_R0LyPdaMHgoKSX,Piracicaba,SP,in_1QJa37HsrWBJzFX2baXY5cKN
2024-11-10 13:06:09,49.0,0.0,Subscription update,EXPERIMENTAI,Paid,Payment complete.,0.0,pm_1Q8L75HsrWBJzFX2INZ9oD2F,cus_R0LoQCGdQrqu0M,Rio de Janeiro,RJ,in_1QJZtYHsrWBJzFX2c5RKlrl0
2024-11-10 12:22:00,49.0,0.0,Subscription update,EXPERIMENTAI,Paid,Payment complete.,0.0,pm_1Q8KQXHsrWBJzFX2uAcGCLuh,cus_R0L69MTPoaGEuR,São Gonçalo,RJ,in_1QJZCfHsrWBJzFX2vJg9IIdS
2024-11-10 11:59:11,49.0,0.0,Subscription update,EXPERIMENTAI,Paid,Payment complete.,0.0,pm_1Q8K41HsrWBJzFX2zyDHW4dj,cus_R0KjZbKvPhwGdn,Itapecerica da Serra,SP,in_1QJYqPHsrWBJzFX29pBxCQ5I
2024-11-10 10:33:15,49.0,0.0,Subscription update,EXPERIMENTAI,Paid,Payment complete.,0.0,pm_1Q8IhoHsrWBJzFX2PnbChIb0,cus_R0JKFrQ9bh9isw,Sabará,MG,in_1QJXUUHsrWBJzFX2m7ixdbzs
2024-11-10 10:32:56,49.0,0.0,Subscription update,EXPERIMENTAI,Paid,Payment complete.,0.0,pm_1Q8Ih8HsrWBJzFX2h4gObNWi,cus_R0JJk1LsD3GMPT,São Paulo,SP,in_1QJXTaHsrWBJzFX2mx03W6Oa
2024-11-10 10:30:15,50.9,0.0,Subscription creation,EXPERIMENTAI,Paid,Payment complete.,0.0,pm_1QJYPJHsrWBJzFX2fwWSp242,cus_RBwHefgWZtgleQ,Ribeirão Preto,SP,in_1QJYPKHsrWBJzFX2iFwYykNC
2024-11-10 10:28:32,49.0,0.0,Subscription update,EXPERIMENTAI,Paid,Payment complete.,0.0,pm_1Q8IcEHsrWBJzFX2CXdMjknK,cus_R0JEfxiSZBdoJN,Avaré,SP,in_1QJXOhHsrWBJzFX2tjK288CS
2024-11-10 06:29:00,32.0,0.0,Subscription update,EXPERIMENTAI,Paid,Payment complete.,0.0,pm_1PQ0lkHsrWBJzFX289H7jtgE,cus_QGXrHFxgpTEv5T,São Paulo,SP,in_1QJTgkHsrWBJzFX2Xyk3aTgU
2024-11-10 04:57:40,32.0,0.0,Subscription update,EXPERIMENTAI,Paid,Payment complete.,0.0,pm_1PPzKRHsrWBJzFX2wsKVzaGU,cus_QGWNxM1etRGYKb,São Paulo,SP,in_1QJSGFHsrWBJzFX2AbnwHmMG
2024-11-10 04:34:37,50.9,0.0,Subscription creation,EXPERIMENTAI,Paid,Payment complete.,0.0,pm_1QJSr9HsrWBJzFX2Rgx2fDtx,cus_RBqYJB57nElUiu,Sorocaba,SP,in_1QJSrAHsrWBJzFX25qmlk8AT
2024-11-10 03:43:46,49.0,0.0,Subscription update,EXPERIMENTAI,Paid,Payment complete.,0.0,pm_1Q8CK0HsrWBJzFX2gCx6talA,cus_R0CjI81i1ZzJKz,São Paulo,SP,in_1QJR6yHsrWBJzFX2hGFT9J2U
2024-11-10 03:03:02,49.0,0.0,Subscription update,EXPERIMENTAI,Paid,Payment complete.,0.0,pm_1Q8Bh4HsrWBJzFX2Wb59yq0H,cus_R0C5PuQqOss34T,Andradina,SP,in_1QJQTrHsrWBJzFX2bXWeyzNe
2024-11-10 02:47:30,49.0,0.0,Subscription update,EXPERIMENTAI,Paid,Payment complete.,0.0,pm_1Q8BSUHsrWBJzFX2J9YiD22L,cus_R0BqKr6PAF9nRj,Rio de Janeiro,RJ,in_1QJQFIHsrWBJzFX2bpLLwbHm
2024-11-10 01:28:55,49.0,0.0,Subscription update,EXPERIMENTAI,Paid,Payment complete.,0.0,pm_1Q8ADiHsrWBJzFX2umubpO0I,cus_R0AYnmeOUxlGkj,Divinópolis,MG,in_1QJP0PHsrWBJzFX2WyZixql0
2024-11-10 01:17:11,49.0,0.0,Subscription update,EXPERIMENTAI,Paid,Payment complete.,0.0,pm_1Q8A0xHsrWBJzFX2D08KICJc,cus_R0ALUUNGgGrLJE,Campinas,SP,in_1QJOozHsrWBJzFX2KrS5kDCb
2024-11-10 01:14:02,49.0,0.0,Subscription update,EXPERIMENTAI,Paid,Payment complete.,0.0,pm_1Q89zRHsrWBJzFX2tDCPlwgy,cus_R0AKiid7uBSP1g,Rio de Janeiro,RJ,in_1QJOmbHsrWBJzFX22jDiH1B2
2024-11-10 00:47:11,59.9,0.0,Subscription creation,EXPERIMENTAI,Paid,Payment complete.,0.0,pm_1QJPJ2HsrWBJzFX2wijSfJvb,cus_RBmsunuDeeNpM8,São José do Rio Preto,SP,in_1QJPJ4HsrWBJzFX2tTMGr9zO
2024-11-10 00:46:26,49.0,0.0,Subscription update,EXPERIMENTAI,Paid,Payment complete.,0.0,pm_1Q89ZSHsrWBJzFX2DHEtvlJA,cus_R09tqaJiFReg4r,Belo Horizonte,MG,in_1QJOLjHsrWBJzFX2odn46BIx
2024-11-09 23:18:03,59.9,0.0,Subscription creation,EXPERIMENTAI,Paid,Payment complete.,0.0,pm_1QJNumHsrWBJzFX2q4PByY1d,cus_RBlRjOXwtyU87l,Rio de Janeiro,RJ,in_1QJNuoHsrWBJzFX2lKfA7zNl
2024-11-09 23:01:06,49.0,0.0,Subscription update,EXPERIMENTAI,Paid,Payment complete.,0.0,pm_1Q87vSHsrWBJzFX21mygt9JL,cus_R08BmqGpF4YPcZ,Mauá,SP,in_1QJMhjHsrWBJzFX2GZdL60Q1
2024-11-09 22:21:38,50.9,0.0,Subscription creation,EXPERIMENTAI,Paid,Payment complete.,0.0,pm_1QJN2CHsrWBJzFX20wuanksx,cus_RBkXVQrOB7jrFZ,Rio de Janeiro,RJ,in_1QJN2DHsrWBJzFX2Q4tpv5Iz
2024-11-09 21:43:26,59.9,0.0,Subscription creation,EXPERIMENTAI,Paid,Payment complete.,0.0,pm_1QJMREHsrWBJzFX2ikOHqeQt,cus_RBjv94htHesUNm,Divinópolis,MG,in_1QJMRFHsrWBJzFX2QPJg868h
2024-11-09 21:12:19,59.9,0.0,Subscription creation,EXPERIMENTAI,Paid,Payment complete.,0.0,pm_1QJLx6HsrWBJzFX2XtXCtqQJ,cus_RBjPoZS9XMpgVk,Rio de Janeiro,RJ,in_1QJLx7HsrWBJzFX25506Aadw
2024-11-09 20:03:44,49.0,0.0,Subscription update,EXPERIMENTAI,Paid,Payment complete.,0.0,pm_1QJKsdHsrWBJzFX2X0VmNHjT,cus_Qz0EyIH34jStmL,Maricá,RJ,in_1QIH0VHsrWBJzFX2M3KGcQNQ
2024-11-09 19:59:03,59.9,0.0,Subscription creation,EXPERIMENTAI,Paid,Payment complete.,0.0,pm_1QJKoBHsrWBJzFX29yahlVKQ,cus_RBiEhZG6c1HIAt,Belo Horizonte,MG,in_1QJKoEHsrWBJzFX2jBxERlxr
2024-11-09 19:56:43,49.0,0.0,Subscription update,EXPERIMENTAI,Paid,Payment complete.,0.0,pm_1Q7820HsrWBJzFX2PR19btDl,cus_Qz6EJfLwnu52TN,Franca,SP,in_1QIMopHsrWBJzFX2JErljAVM
2024-11-09 18:59:12,49.0,0.0,Subscription update,EXPERIMENTAI,Paid,Payment complete.,0.0,pm_1QJJsIHsrWBJzFX2GRm7EiRA,cus_Qz0ISXNwaGkIsr,Niterói,RJ,in_1QIH52HsrWBJzFX2GS1l6DC1
2024-11-09 18:51:07,59.9,0.0,Subscription creation,EXPERIMENTAI,Paid,Payment complete.,0.0,pm_1QJJkSHsrWBJzFX2ao0aABn1,cus_RBh8nLqN0bPmiQ,Pres. Prudente,SP,in_1QJJkUHsrWBJzFX2qQoLware
2024-11-09 18:13:24,49.0,0.0,Subscription update,EXPERIMENTAI,Paid,Payment complete.,0.0,pm_1Q83QlHsrWBJzFX2iYKUJxcN,cus_R03XLTZTuPWIab,Rio das Ostras,RJ,in_1QJIDNHsrWBJzFX2neJnqOGv
2024-11-09 17:50:46,59.9,0.0,Subscription creation,EXPERIMENTAI,Paid,Payment complete.,0.0,pm_1QJIo3HsrWBJzFX2dyxupOZX,cus_RBgAcOIvTF9sOk,Rio de Janeiro,RJ,in_1QJIo5HsrWBJzFX2PyjPnX0g
2024-11-09 17:22:07,50.9,0.0,Subscription creation,EXPERIMENTAI,Paid,Payment complete.,0.0,pm_1QJIMKHsrWBJzFX27kHn1FYd,cus_RBfhIVdQKlj2Qu,Divinópolis,MG,in_1QJIMLHsrWBJzFX2UgzZSSHp
2024-11-09 17:18:03,59.9,0.0,Subscription creation,EXPERIMENTAI,Paid,Payment complete.,0.0,pm_1QJIIMHsrWBJzFX2ZxccApe2,cus_RBfd9IblpAALRM,Alfenas,MG,in_1QJIIQHsrWBJzFX2R8FniJQK
2024-11-09 17:12:39,59.9,0.0,Subscription creation,EXPERIMENTAI,Paid,Payment complete.,0.0,pm_1QJID8HsrWBJzFX2VpJuseHo,cus_RBfYzU2MAaE1eV,Espera Feliz,MG,in_1QJIDCHsrWBJzFX2HaM3OC94
2024-11-09 16:24:26,32.0,0.0,Subscription update,EXPERIMENTAI,Paid,Payment complete.,0.0,pm_1PPnarHsrWBJzFX2kLjNahs4,cus_QGKFcU9yi1idLT,São Paulo,SP,in_1QJGVyHsrWBJzFX2JpvJ83M4
2024-11-09 16:19:26,32.0,0.0,Subscription update,EXPERIMENTAI,Paid,Payment complete.,0.0,pm_1PbtIqHsrWBJzFX2bWLwp8Ak,cus_QGKA8nb34K8yEi,São Bernardo do Campo,SP,in_1QJGRUHsrWBJzFX2xBlAXbKy
2024-11-09 16:07:56,49.0,0.0,Subscription update,EXPERIMENTAI,Paid,Payment complete.,0.0,pm_1Q81TeHsrWBJzFX2meMOrcfm,cus_R01WshPC45DLAr,São Paulo,SP,in_1QJGFoHsrWBJzFX2CrERxtWZ
2024-11-09 16:01:15,49.0,0.0,Subscription update,EXPERIMENTAI,Paid,Payment complete.,0.0,pm_1QJH5yHsrWBJzFX2wz6StrXt,cus_QyxP8F1DfcBWms,Rio de Janeiro,RJ,in_1QIEHXHsrWBJzFX2TwyY3EmR
2024-11-09 15:59:30,49.0,0.0,Subscription update,EXPERIMENTAI,Paid,Payment complete.,0.0,pm_1Q81LBHsrWBJzFX2JZ1KD36Y,cus_R01NzpoiuNXX2n,Ubatuba,SP,in_1QJG7THsrWBJzFX2h6g5X0Yh
2024-11-09 14:35:06,49.0,0.0,Subscription update,EXPERIMENTAI,Paid,Payment complete.,0.0,pm_1Q801fHsrWBJzFX2rV9P9wI1,cus_R001J3krjQuNAe,Conselheiro Lafaiete,MG,in_1QJEo0HsrWBJzFX2l1GvLADK
2024-11-09 14:03:23,49.0,0.0,Subscription update,EXPERIMENTAI,Paid,Payment complete.,0.0,pm_1Q7zWVHsrWBJzFX2kYfrctqK,cus_QzzV9T6PA1oNm3,São Paulo,SP,in_1QJEJDHsrWBJzFX2HN7Nhmkt
2024-11-09 13:42:55,49.0,0.0,Subscription update,EXPERIMENTAI,Paid,Payment complete.,0.0,pm_1Q7zCoHsrWBJzFX2g4uyOCQY,cus_QzzBdpe90VGfR1,Macaé,RJ,in_1QJDzoHsrWBJzFX2GRkcF112
2024-11-09 13:24:02,49.0,0.0,Subscription update,EXPERIMENTAI,Paid,Payment complete.,0.0,pm_1Q7yv9HsrWBJzFX2tAlVLycw,cus_QzysJGhyH3wxCe,Guarulhos,SP,in_1QJDhNHsrWBJzFX2OLimUxel
2024-11-09 13:01:37,49.0,0.0,Subscription update,EXPERIMENTAI,Paid,Payment complete.,0.0,pm_1Q7yYYHsrWBJzFX2dOm0U7sZ,cus_QzyVZyRxFDUT1T,Ribeirão Preto,SP,in_1QJDL5HsrWBJzFX2MSznE4s5
2024-11-09 13:00:24,59.9,0.0,Subscription creation,EXPERIMENTAI,Paid,Payment complete.,0.0,pm_1QJEH5HsrWBJzFX2rgJrJrxn,cus_RBbUfwzqskOTD4,Poá,SP,in_1QJEH6HsrWBJzFX2e1YXlJfX
2024-11-09 12:42:38,32.0,0.0,Subscription update,EXPERIMENTAI,Paid,Payment complete.,0.0,pm_1PPk7lHsrWBJzFX2ImQhug04,cus_QGGfwskzFwzDul,Cubatão ,SP,in_1QJD3CHsrWBJzFX2AdPgblJO
2024-11-09 12:28:15,59.9,0.0,Subscription creation,EXPERIMENTAI,Paid,Payment complete.,0.0,pm_1QJDlwHsrWBJzFX2yQIYURsO,cus_RBaxyYHdCZnaYF,Manhuaçu,MG,in_1QJDlyHsrWBJzFX29pfZ93gm
2024-11-09 12:22:51,59.9,0.0,Subscription creation,EXPERIMENTAI,Paid,Payment complete.,0.0,pm_1QJDghHsrWBJzFX2Qvn6EGwW,cus_RBasvCsFKqO9KO,Vitória,ES,in_1QJDgkHsrWBJzFX2iBTGXm6x
2024-11-09 11:49:00,49.0,0.0,Subscription update,EXPERIMENTAI,Paid,Payment complete.,0.0,pm_1Q7xQpHsrWBJzFX2hCrSxrsd,cus_QzxLgzhvuBEoz8,Volta Redonda,RJ,in_1QJCDkHsrWBJzFX2fPVIrFTp
2024-11-09 11:42:52,59.9,0.0,Subscription creation,EXPERIMENTAI,Paid,Payment complete.,0.0,pm_1QJD42HsrWBJzFX24N97XhMn,cus_RBaEJirtVynYZW,Rio de Janeiro,RJ,in_1QJD43HsrWBJzFX2H6rd2lKc
2024-11-09 11:31:02,49.0,0.0,Subscription update,EXPERIMENTAI,Paid,Payment complete.,0.0,pm_1Q7x9bHsrWBJzFX2lbyxG271,cus_Qzx3uHK6ZjXnrJ,Itaquaquecetuba,SP,in_1QJBwPHsrWBJzFX2aYShxdWn
2024-11-09 11:19:49,59.9,0.0,Subscription creation,EXPERIMENTAI,Paid,Payment complete.,0.0,pm_1QJChjHsrWBJzFX2tgjHEPBA,cus_RBZrAc8BW5b0Mr,Ourinhos,SP,in_1QJChkHsrWBJzFX2ELUjoBI0
2024-11-09 11:09:19,49.0,0.0,Subscription update,EXPERIMENTAI,Paid,Payment complete.,0.0,pm_1Q7woQHsrWBJzFX2bMNghl6y,cus_QzwhY3vjqS6ikt,Belo Horizonte,MG,in_1QJBbCHsrWBJzFX2ZSBI3l6i
2024-11-09 10:49:29,50.9,0.0,Subscription creation,EXPERIMENTAI,Paid,Payment complete.,0.0,pm_1QJCENHsrWBJzFX2wkBAUVsO,cus_RBZNs1ZO4pq1ey,Uberlândia,MG,in_1QJCEOHsrWBJzFX2rNMPiT0i
2024-11-09 10:30:31,49.0,0.0,Subscription update,EXPERIMENTAI,Paid,Payment complete.,0.0,pm_1Q7wAXHsrWBJzFX2VLOssztM,cus_Qzw2JWWltSGTzG,Guarulhos,SP,in_1QJAxHHsrWBJzFX2nepeSB95
2024-11-09 09:05:50,49.0,0.0,Subscription update,EXPERIMENTAI,Paid,Payment complete.,0.0,pm_1Q7usBHsrWBJzFX2gEYzePhV,cus_QzuhWtAf4ajwJM,Rio de Janeiro,RJ,in_1QJ9eyHsrWBJzFX2BtUXhHWX
2024-11-09 04:22:03,49.0,0.0,Subscription update,EXPERIMENTAI,Paid,Payment complete.,0.0,pm_1Q7qSuHsrWBJzFX21AF7pD77,cus_Qzq909dwevOjrb,SÃo JosÉ Dos Campos,SP,in_1QJ5FDHsrWBJzFX2r1NcXuTC
2024-11-09 04:13:00,49.0,0.0,Subscription update,EXPERIMENTAI,Paid,Payment complete.,0.0,pm_1Q6sNVHsrWBJzFX2AIygh2WI,cus_Qyq3DWTuHEkQbv,Três Rios,RJ,in_1QI79lHsrWBJzFX2YwNNJWa2
2024-11-09 03:33:37,49.0,0.0,Subscription update,EXPERIMENTAI,Paid,Payment complete.,0.0,pm_1Q7phgHsrWBJzFX2fv2ZxDpD,cus_QzpMDSp6lPhNiA,Campos dos Goytacazes,RJ,in_1QJ4TqHsrWBJzFX2J6fZ9a2M
2024-11-09 01:41:05,59.9,0.0,Subscription creation,EXPERIMENTAI,Paid,Payment complete.,0.0,pm_1QJ3ffHsrWBJzFX2tIXOb3KS,cus_RBQWVstSzJkLcv,São Paulo,SP,in_1QJ3fgHsrWBJzFX2hCnVgLFd
2024-11-09 01:31:43,59.9,0.0,Subscription creation,EXPERIMENTAI,Paid,Payment complete.,0.0,pm_1QJ3WWHsrWBJzFX2HfQQXxgA,cus_RBQFV7kMlB7mJv,São Paulo,SP,in_1QJ3OkHsrWBJzFX2YX0QalQd
2024-11-09 01:24:48,59.9,0.0,Subscription creation,EXPERIMENTAI,Paid,Payment complete.,0.0,pm_1QJ3PtHsrWBJzFX2yuXp58Qs,cus_RBQGrL9YPcxGsR,São Paulo,SP,in_1QJ3PuHsrWBJzFX23FhznUqx
2024-11-09 01:14:04,59.9,0.0,Subscription creation,EXPERIMENTAI,Paid,Payment complete.,0.0,pm_1QJ3FTHsrWBJzFX2ZrCbrawq,cus_RBQ5G8Kx3UptIT,São Paulo,SP,in_1QJ3FXHsrWBJzFX2FNlKUS72
2024-11-09 01:14:04,59.9,0.0,Subscription creation,EXPERIMENTAI,Paid,Payment complete.,0.0,pm_1QJ3FVHsrWBJzFX2Ff2ZZM3c,cus_RBQ51CsNggF2Gu,São Paulo,SP,in_1QJ3FXHsrWBJzFX2uhPbvHAv
2024-11-09 00:52:32,49.0,0.0,Subscription update,EXPERIMENTAI,Paid,Payment complete.,0.0,pm_1QJ2uRHsrWBJzFX2y33SMdpL,cus_QzmjNVREv2VW3A,Sao Paulo,SP,in_1QJ1wLHsrWBJzFX2Z7Qwzb2l
2024-11-09 00:32:17,59.9,0.0,Subscription creation,EXPERIMENTAI,Paid,Payment complete.,0.0,pm_1QJ2b4HsrWBJzFX2BoiMUcCb,cus_RBPPuoifs8tuqe,Cariacica,ES,in_1QJ2b6HsrWBJzFX2AAtmvcOF
2024-11-08 22:44:09,50.9,0.0,Subscription creation,EXPERIMENTAI,Paid,Payment complete.,0.0,pm_1QJ0uQHsrWBJzFX2evU9fNn5,cus_RBNfHg0iWa2Sn6,São Paulo,SP,in_1QJ0uRHsrWBJzFX2mvB0K8m8
2024-11-08 21:15:14,47.92,0.0,Subscription creation,EXPERIMENTAI,Paid,Payment complete.,0.0,pm_1QIzWOHsrWBJzFX2KsibOWFt,cus_RBME8bT67W5y4I,Belo Horizonte,MG,in_1QIzWPHsrWBJzFX2Ktp8lW9a
2024-11-08 19:31:04,49.0,0.0,Subscription update,EXPERIMENTAI,Paid,Payment complete.,0.0,pm_1Q7iAYHsrWBJzFX2wBAgFldd,cus_QzhZKSCA77E7Rr,Campinas,SP,in_1QIwwqHsrWBJzFX2aYBB6rfE
2024-11-08 19:26:58,50.9,0.0,Subscription creation,EXPERIMENTAI,Paid,Payment complete.,0.0,pm_1QIxpdHsrWBJzFX2Lu2q8uEE,cus_RBKTfI5KMbzpQ9,Santana de Parnaíba,SP,in_1QIxoPHsrWBJzFX2jkO2wHVQ
2024-11-08 19:09:01,49.0,0.0,Subscription update,EXPERIMENTAI,Paid,Payment complete.,0.0,pm_1Q7hpLHsrWBJzFX2SKay2raB,cus_QzhD0gz4qGf4xF,Araruama,RJ,in_1QIwbkHsrWBJzFX2ITkDAwhc
2024-11-08 18:59:27,50.9,0.0,Subscription creation,EXPERIMENTAI,Paid,Payment complete.,0.0,pm_1QIxOzHsrWBJzFX2IZQH7e9t,cus_RBK3LPs90cDJCD,Rio de Janeiro,RJ,in_1QIxP0HsrWBJzFX2V5xSxppK
2024-11-08 18:40:50,59.9,0.0,Subscription creation,EXPERIMENTAI,Paid,Payment complete.,0.0,pm_1QIx6yHsrWBJzFX2xXurmhYq,cus_RBJkC2O1F2NfTX,Rio de Janeiro,RJ,in_1QIx6zHsrWBJzFX21VxPJ0ea
2024-11-08 18:17:25,49.0,0.0,Subscription update,EXPERIMENTAI,Paid,Payment complete.,0.0,pm_1Q7h15HsrWBJzFX2NLtUukmz,cus_QzgN8KMPeBTn88,Sorocaba,SP,in_1QIvnxHsrWBJzFX2dUmSmhKd
2024-11-08 18:03:40,49.0,0.0,Subscription update,EXPERIMENTAI,Paid,Payment complete.,0.0,pm_1Q7gntHsrWBJzFX2tpY9IXHP,cus_QzgAvYlwqKtx6B,Piracicaba,SP,in_1QIvaSHsrWBJzFX26eHgq6bb
2024-11-08 17:54:59,59.9,0.0,Subscription creation,EXPERIMENTAI,Paid,Payment complete.,0.0,pm_1QIwObHsrWBJzFX2IWNDvo8x,cus_RBJ0n7ZjOQgZ73,São Paulo,SP,in_1QIwOcHsrWBJzFX2maHJarJg
